c3_1,c3_2,c3_3,d3_1,d3_2,d3_3,e3_1,e3_2,e3_3,f3_1,f3_2,f3_3,g3_1,g3_2,g3_3,a4_1,a4_2,a4_3,b3_1,b3_2,b3_3,c-3_1,c-3_2,c-3_3,d-3_1,d-3_2,d-3_3,f-3_1,f-3_2,f-3_3,g-3_1,g-3_2,g-3_3,a-4_1,a-4_2,a-4_3,c3_4,c3_5,d3_4,d3_5,e3_4,e3_5,f3_4,f3_5,g3_4,g3_5,a4_4,a4_5,b3_4,b3_5,c-3_4,c-3_5,d-3_4,d-3_5,f-3_4,f-3_5,g-3_4,g-3_5,a-4_4,a-4_5,b3_6,b3_7,e3_6,e3_7,f3_6,f3_7
0.1423,0.136,0.10406,0.02301,0.03186,0.02298,0.1111,0.2416,0.2761,0.415,0.166,0.3955,0.2458,0.0952,0.1185,0.273,0.2156,0.1838,0.12225,0.08765,0.102,0.08203,0.1353,0.07446,0.2043,0.2085,0.1327,0.4436,0.24,0.383,0.2451,0.1702,0.319,0.3503,0.3823,0.416,0.16,0.147,0.0668,0.04813,0.234,0.0902,0.272,0.396,0.441,0.2146,0.2002,0.3408,0.0331,0.03595,0.1729,0.167,0.2313,0.1241,0.4595,0.4258,0.1501,0.3157,0.206,0.2493,0.0763,0.03574,0.3022,0.331,0.4478,0.593
0.1274,0.09955,0.0925,0.0214,0.03009,0.02176,0.1062,0.239,0.2737,0.359,0.1406,0.3547,0.234,0.08606,0.1152,0.2683,0.2001,0.1696,0.1089,0.08044,0.0853,0.074,0.1048,0.0698,0.2017,0.2023,0.1276,0.4275,0.2355,0.3574,0.2408,0.1671,0.3174,0.329,0.3713,0.3872,0.1427,0.1411,0.065,0.0468,0.2173,0.0898,0.2537,0.3618,0.4065,0.198,0.1965,0.3247,0.03162,0.03378,0.1676,0.1573,0.218,0.12134,0.4436,0.4233,0.1465,0.3142,0.203,0.2374,0.0669,0.03506,0.2976,0.33,0.3752,0.5225
0.0809,0.0555,0.07153,0.01843,0.02396,0.01938,0.0925,0.2201,0.2151,0.2438,0.0973,0.2559,0.2029,0.0768,0.0884,0.2415,0.1672,0.1427,0.0874,0.0635,0.0642,0.0631,0.0509,0.06073,0.1895,0.189,0.1189,0.3933,0.2205,0.3184,0.2268,0.1578,0.308,0.2864,0.3274,0.3308,0.1059,0.12384,0.0608,0.04388,0.1892,0.07605,0.1787,0.2479,0.2998,0.1498,0.1877,0.2917,0.02502,0.03058,0.1595,0.1432,0.1881,0.114,0.411,0.393,0.1381,0.2922,0.1945,0.2156,0.04916,0.02847,0.2081,0.2416,0.2275,0.33
0.02087,-0.001434,0.04648,0.01526,0.01773,0.01718,0.07495,0.1874,0.10004,0.10144,0.05176,0.1265,0.1577,0.07666,0.03766,0.1963,0.1173,0.11206,0.0594,0.04214,0.04025,0.05353,-0.02164,0.04886,0.1694,0.1733,0.10645,0.3477,0.2001,0.2852,0.2048,0.1444,0.2969,0.2344,0.2695,0.2595,0.0604,0.0995,0.05414,0.03943,0.159,0.0547,0.1061,0.1404,0.1902,0.0864,0.1796,0.2424,0.012665,0.02298,0.154,0.1301,0.1467,0.1043,0.3687,0.3381,0.1287,0.256,0.1837,0.1919,0.02133,0.01877,0.04242,0.0758,0.1123,0.09204
-0.04428,-0.0464,0.02365,0.013275,0.01135,0.01532,0.05832,0.1556,-0.04044,-0.02414,0.015594,0.001465,0.10486,0.08606,-0.01703,0.1381,0.0645,0.0845,0.03064,0.01654,0.0209,0.04645,-0.08057,0.03592,0.1449,0.1559,0.0928,0.2935,0.1724,0.2668,0.1802,0.1299,0.276,0.1842,0.2094,0.1893,0.0213,0.0732,0.04645,0.03366,0.1328,0.02924,0.0379,0.0398,0.0746,0.01227,0.174,0.1791,0.002197,0.01471,0.1552,0.12146,0.10376,0.09424,0.3218,0.2795,0.11993,0.2051,0.168,0.1655,-0.002228,0.009766,-0.1389,-0.1076,0.03207,0.03464
-0.10535,-0.0857,0.010956,0.01251,0.00757,0.01434,0.04587,0.124,-0.15,-0.1095,0.0004272,-0.094,0.04248,0.08984,-0.0674,0.0814,0.01575,0.0658,0.000702,-0.002655,0.00299,0.04077,-0.1096,0.0213,0.1183,0.1383,0.0796,0.2329,0.1448,0.271,0.1511,0.11646,0.2378,0.1362,0.1603,0.1256,-0.00699,0.05017,0.0398,0.02652,0.1084,0.00708,0.0134,0.001892,0.02365,-0.04816,0.1648,0.1128,-0.00955,0.008026,0.1624,0.1201,0.06506,0.0873,0.2715,0.2201,0.10974,0.1433,0.1483,0.135,-0.02283,-0.000824,-0.2764,-0.2563,0.06274,0.07104
-0.134,-0.10364,0.006317,0.01312,0.007324,0.01373,0.037,0.0973,-0.208,-0.1447,0.002594,-0.1466,-0.002533,0.0884,-0.0878,0.03152,-0.0214,0.05136,-0.0213,-0.02301,-0.01083,0.0326,-0.103,0.00641,0.0928,0.1192,0.06616,0.1693,0.10956,0.2893,0.1177,0.1028,0.1831,0.0915,0.11536,0.06232,-0.02383,0.02261,0.03357,0.01904,0.0779,-0.005066,0.0532,0.0846,-0.005157,-0.082,0.1495,0.04437,-0.01761,6.1e-05,0.166,0.1173,0.0365,0.0808,0.2095,0.1749,0.10095,0.0717,0.11914,0.1013,-0.03342,-0.00879,-0.3413,-0.337,0.1738,0.1514
-0.1279,-0.09424,0.003387,0.01407,0.00906,0.01376,0.03082,0.0788,-0.2168,-0.11707,0.01547,-0.138,-0.05182,0.08264,-0.0917,-0.01041,-0.04404,0.0397,-0.04678,-0.04132,-0.02231,0.02066,-0.0681,-0.007416,0.06995,0.0968,0.05164,0.1074,0.066,0.3167,0.0812,0.089,0.1144,0.04538,0.06946,9.16e-05,-0.03488,-0.0083,0.02713,0.012665,0.04745,-0.00806,0.1179,0.1787,-0.00943,-0.08594,0.1265,-0.01926,-0.02264,-0.00522,0.1549,0.1072,0.0177,0.07294,0.142,0.1438,0.0917,-0.006073,0.0792,0.0582,-0.03763,-0.01547,-0.3162,-0.328,0.302,0.3118
-0.09265,-0.0812,-0.003113,0.01477,0.01248,0.01373,0.02448,0.063,-0.1803,-0.06836,0.0318,-0.098,-0.09485,0.0686,-0.0802,-0.03973,-0.0558,0.02884,-0.0685,-0.05377,-0.04092,0.005157,-0.02069,-0.01962,0.04648,0.07056,0.03528,0.04053,0.0234,0.3257,0.03375,0.07166,0.04022,-0.00711,0.01602,-0.0638,-0.04965,-0.04337,0.02039,0.00775,0.01227,-0.003143,0.1846,0.2903,0.00598,-0.05896,0.09204,-0.0731,-0.02676,-0.011444,0.1343,0.09283,0.00357,0.06055,0.0599,0.1209,0.0806,-0.08435,0.03162,0.007263,-0.0397,-0.01987,-0.2332,-0.2576,0.4097,0.4048
-0.03772,-0.0518,-0.0173,0.01395,0.015076,0.013245,0.01462,0.04337,-0.1124,-0.05334,0.04156,-0.0792,-0.1279,0.05957,-0.05292,-0.05902,-0.0588,0.012634,-0.08655,-0.06854,-0.05832,-0.01221,0.03235,-0.0292,0.0216,0.03897,0.01822,-0.03012,-0.02039,0.2917,-0.01996,0.04745,-0.03079,-0.0637,-0.04642,-0.1274,-0.0682,-0.07874,0.01364,0.004303,-0.02548,0.004456,0.2351,0.3586,-0.01865,-0.02066,0.04636,-0.1129,-0.02924,-0.01678,0.10535,0.0713,-0.01358,0.04205,-0.02747,0.09705,0.06744,-0.1588,-0.02066,-0.04938,-0.03665,-0.02222,-0.1469,-0.1748,0.379,0.3293
0.004547,-0.03333,-0.04,0.01117,0.015594,0.011536,-0.00058,0.007294,-0.04178,-0.0862,0.038,-0.1045,-0.1598,0.05035,-0.03293,-0.0685,-0.05856,-0.00595,-0.1026,-0.07794,-0.07837,-0.02914,0.05215,-0.0371,-0.005157,0.003296,0.0002747,-0.0969,-0.0684,0.2087,-0.06805,0.01569,-0.0936,-0.12024,-0.11383,-0.1855,-0.09045,-0.1069,0.00806,0.001831,-0.0647,0.00867,0.2393,0.3477,-0.0618,0.01724,-0.00412,-0.1404,-0.03055,-0.02002,0.079,0.0528,-0.0349,0.01974,-0.1101,0.05066,0.04855,-0.2205,-0.0707,-0.1059,-0.03683,-0.0224,-0.0841,-0.11127,0.3271,0.0583
0.03165,-0.01572,-0.0643,0.006897,0.01337,0.00845,-0.02057,-0.04227,0.004272,-0.1373,0.01111,-0.1487,-0.1742,0.0491,-0.01953,-0.0723,-0.0594,-0.02579,-0.1087,-0.083,-0.09436,-0.0452,0.03754,-0.0441,-0.03122,-0.03284,-0.01733,-0.1562,-0.11426,0.096,-0.1111,-0.02264,-0.1418,-0.1699,-0.1785,-0.2318,-0.10876,-0.12305,0.002167,-0.000824,-0.10474,0.003021,0.1888,0.289,-0.1089,0.0398,-0.04944,-0.1658,-0.03238,-0.02353,0.0477,0.02423,-0.0572,-0.004517,-0.1794,-0.00589,0.02713,-0.2634,-0.115,-0.1539,-0.0349,-0.02148,-0.0584,-0.0802,0.267,-0.3438
