a3,b3,c3
0.00925,0.004395,0.01877
0.009,0.004333,0.0177
0.008484,0.00418,0.01431
0.007812,0.003937,0.00955
0.006775,0.00357,0.004578
0.005554,0.003143,0.000702
0.00418,0.002563,-0.001648
0.002777,0.001984,-0.00235
0.001373,0.001434,-0.002289
3.05e-05,0.000946,-0.00235
-0.001221,0.000519,-0.003265
-0.00232,0.0001221,-0.00534
-0.003265,-0.0001526,-0.00842
-0.00406,-0.0002441,-0.01193
-0.004547,-0.0001831,-0.01486
-0.00479,-6.104e-05,-0.01614
-0.00482,0.0002136,-0.015594
-0.00464,0.000641,-0.01291
-0.00415,0.001129,-0.00885
-0.00351,0.001556,-0.004547
-0.002838,0.002045,-0.0007324
-0.001923,0.002441,0.001617
-0.001007,0.002808,0.001953
-3.05e-05,0.003082,0.0004883
0.0008545,0.003204,-0.002014
0.001648,0.003174,-0.004517
0.00241,0.003021,-0.006287
0.00293,0.002808,-0.006927
0.003296,0.002472,-0.00656
0.003448,0.002014,-0.005554
0.003448,0.001434,-0.00467
0.003204,0.0007935,-0.004517
0.002838,6.104e-05,-0.00537
0.00238,-0.000641,-0.006866
0.001709,-0.001373,-0.00833
0.000977,-0.002014,-0.00888
0.0002747,-0.002594,-0.00809
-0.000519,-0.003052,-0.005646
-0.001251,-0.003479,-0.002075
-0.001984,-0.003754,0.001862
-0.002594,-0.003937,0.00525
-0.003082,-0.003967,0.007385
-0.003479,-0.003906,0.007965
-0.003693,-0.003723,0.007202
-0.003876,-0.00351,0.0058
-0.003937,-0.003235,0.00418
-0.003906,-0.0029,0.003052
-0.003784,-0.002686,0.002869
-0.003632,-0.00238,0.003387
-0.003387,-0.002136,0.004395
-0.003143,-0.001892,0.00522
-0.002869,-0.001862,0.005432
-0.002594,-0.00177,0.004913
-0.002441,-0.001709,0.003784
-0.00235,-0.001862,0.002441
-0.002289,-0.002014,0.001282
-0.002258,-0.002228,0.000946
-0.002289,-0.002441,0.001617
-0.00232,-0.002655,0.003021
-0.00241,-0.002869,0.004913
-0.002441,-0.003113,0.006836
-0.002472,-0.003235,0.00839
-0.002472,-0.003296,0.00934
-0.002502,-0.003387,0.00958
-0.002533,-0.003326,0.00925
-0.002563,-0.003235,0.00864
-0.002502,-0.00296,0.00806
-0.00232,-0.002655,0.00766
-0.002289,-0.00232,0.007233
-0.002136,-0.001892,0.006775
-0.001923,-0.001404,0.00592
-0.0017395,-0.000946,0.004547
-0.001465,-0.0003662,0.002838
-0.001251,0.0001221,0.000824
-0.001007,0.00058,-0.00119
-0.0007324,0.001007,-0.002869
-0.0003967,0.001404,-0.003937
-0.0002441,0.001709,-0.004456
0.0,0.001892,-0.004456
0.0001831,0.001984,-0.003998
0.0002136,0.002014,-0.003387
0.0002441,0.001953,-0.0029
0.0002441,0.001862,-0.002472
0.0001221,0.001648,-0.002258
-9.155e-05,0.001495,-0.002228
-0.0003357,0.001343,-0.002228
-0.000702,0.001129,-0.002136
-0.001038,0.000946,-0.001953
-0.001404,0.000763,-0.001587
-0.001862,0.000641,-0.001007
-0.002197,0.000519,-0.0003662
-0.002502,0.0004578,0.0003357
