1_1,1_2,1_3,2_1,2_2,2_3,3_1,3_2,3_3,4_1,4_2,4_3,5_1,5_2,5_3,6_1,6_2,6_3,7_1,7_2,7_3,8_1,8_2,8_3,9_1,9_2,9_3,10_1,10_2,10_3,11_1,11_2,11_3,12_1,12_2,12_3,13_1,13_2,13_3,14_1,14_2,14_3
0.1667,0.04013,0.1219,0.0622,0.04343,0.08826,0.02145,0.01306,0.0202,0.021,0.01913,0.01486,0.06415,0.1017,0.0646,0.06757,0.08044,0.0757,0.1312,0.0863,0.0663,0.129,0.1274,0.108,0.07043,0.1066,0.1024,0.11523,0.1567,0.12274,0.1147,0.1597,0.10144,0.02853,0.1144,0.01974,0.04672,0.01794,0.0108,0.04053,0.03217,0.0489
0.1462,0.03336,0.09814,0.05997,0.0406,0.0782,0.02106,0.0126,0.01984,0.02066,0.01746,0.014435,0.06113,0.0964,0.0624,0.06604,0.0793,0.0746,0.121,0.0846,0.06506,0.1191,0.1273,0.1037,0.06384,0.10297,0.09326,0.0997,0.1531,0.12036,0.1078,0.1533,0.0925,0.02777,0.1052,0.01886,0.0467,0.01688,0.01044,0.03918,0.02933,0.0474
0.1083,0.01663,0.05484,0.04813,0.03195,0.05707,0.01956,0.0112,0.01831,0.01813,0.0141,0.01355,0.05597,0.0847,0.0574,0.0637,0.0749,0.07056,0.1009,0.07745,0.0633,0.0921,0.11475,0.08264,0.0458,0.07544,0.067,0.0621,0.1151,0.10974,0.0912,0.1353,0.07697,0.02481,0.088,0.01779,0.04254,0.01434,0.0083,0.03903,0.02576,0.0375
0.06854,-0.004395,0.01758,0.02896,0.01828,0.02786,0.01721,0.009125,0.0163,0.01355,0.009766,0.0123,0.05078,0.0692,0.05032,0.06015,0.06995,0.0642,0.0769,0.0689,0.06186,0.06073,0.09717,0.05664,0.02328,0.03464,0.03333,0.01315,0.05536,0.0924,0.0718,0.1128,0.0624,0.0203,0.0633,0.01581,0.03674,0.01306,0.00641,0.03806,0.01831,0.01984
0.03723,-0.02606,-0.00705,0.00928,0.00409,0.00241,0.01477,0.006897,0.01422,0.00885,0.005432,0.01059,0.0467,0.0517,0.04263,0.05554,0.065,0.0565,0.05692,0.06384,0.06116,0.03793,0.08655,0.03284,0.003937,-0.004974,0.00409,-0.03098,-0.00955,0.07306,0.05658,0.089,0.05103,0.01617,0.03473,0.01398,0.03,0.01291,0.005493,0.0354,0.00864,0.004242
0.01974,-0.04327,-0.006134,-0.00763,-0.006653,-0.0155,0.0123,0.004395,0.0119,0.005676,0.001404,0.00864,0.04358,0.0356,0.03665,0.0508,0.06125,0.04953,0.04013,0.0625,0.05972,0.02982,0.0873,0.02289,-0.007812,-0.03134,-0.0137,-0.0562,-0.06003,0.0603,0.0467,0.068,0.04147,0.01239,0.00592,0.01111,0.02396,0.013336,0.00528,0.03467,0.001404,-0.00711
0.01587,-0.0502,0.02316,-0.01712,-0.01343,-0.02057,0.009705,0.001984,0.00983,0.004333,-0.001648,0.00641,0.04156,0.02185,0.03256,0.0461,0.05914,0.0449,0.02829,0.06506,0.0575,0.03967,0.0958,0.02997,-0.006134,-0.0391,-0.01318,-0.05713,-0.0821,0.05167,0.04105,0.05023,0.03357,0.00998,-0.01904,0.00928,0.01953,0.01468,0.005554,0.03152,-0.003387,-0.0119
0.0206,-0.04495,0.06604,-0.01785,-0.01437,-0.01187,0.006775,-0.0006104,0.00784,0.00525,-0.003693,0.00418,0.0394,0.00809,0.0307,0.04077,0.05682,0.0423,0.02386,0.0682,0.0542,0.05847,0.11084,0.05023,0.00641,-0.02802,0.003479,-0.03622,-0.0706,0.04672,0.03458,0.03464,0.02402,0.00989,-0.03937,0.007935,0.01614,0.01529,0.0065,0.02655,-0.003815,-0.010956
0.02847,-0.03061,0.1046,-0.010864,-0.00986,0.007233,0.003235,-0.003387,0.005524,0.00824,-0.004944,0.002136,0.0364,-0.010345,0.02975,0.0342,0.05405,0.04086,0.014984,0.0686,0.04962,0.07983,0.12317,0.07715,0.02509,-0.003174,0.03091,-0.002533,-0.03247,0.03876,0.02405,0.01764,0.012085,0.0105,-0.05414,0.00656,0.013794,0.01526,0.00775,0.02084,-0.000885,-0.002502
0.03128,-0.01416,0.1191,-0.0002441,-0.00177,0.03079,-0.000763,-0.00644,0.002258,0.01166,-0.006073,0.0,0.03134,-0.02966,0.02798,0.0274,0.04892,0.04,-0.002808,0.0647,0.04422,0.0936,0.1271,0.0972,0.04297,0.02298,0.05707,0.03003,0.015564,0.02545,0.007812,-0.004333,-0.003021,0.01065,-0.068,0.005615,0.00943,0.01352,0.0087,0.01041,0.00641,0.009125
