c3_1,c3_2,d3_1,d3_2,e3_1,e3_2,f3_1,f3_2,g3_1,g3_2,a3_1,a3_2,b3_1,b3_2,d-3_1,d-3_2,d-3_3,e-3_1,e-3_2,e-3_3,g-3_1,g-3_2,g-3_3,a-3_1,a-3_2,a-3_3,b-3_1,b-3_2,b-3_3
0.1864,0.104,0.3223,0.423,0.2491,0.336,0.2158,0.3174,0.1655,0.2031,0.229,0.09546,0.1826,0.2068,0.0531,0.05084,0.0956,0.05005,0.03714,0.2324,0.07056,0.05704,0.4258,0.1185,0.02606,0.05615,0.04074,0.05792,0.0457
0.1823,0.1035,0.3035,0.394,0.2444,0.3203,0.189,0.2886,0.1554,0.1974,0.2185,0.08875,0.176,0.2007,0.05246,0.0498,0.0946,0.0493,0.03638,0.2047,0.06995,0.05585,0.4102,0.10974,0.02454,0.0524,0.03906,0.0552,0.0447
0.1721,0.09595,0.2402,0.3538,0.2354,0.2717,0.1313,0.2157,0.1376,0.1786,0.2,0.0761,0.1638,0.1946,0.05063,0.0471,0.0906,0.04715,0.03427,0.1442,0.0639,0.0515,0.371,0.0853,0.02072,0.0438,0.0341,0.04944,0.0419
0.1562,0.0861,0.1694,0.3,0.2081,0.1969,0.04492,0.11163,0.0967,0.1504,0.176,0.05875,0.1492,0.1656,0.04782,0.04214,0.0835,0.04486,0.03119,0.0581,0.05508,0.04385,0.3325,0.05234,0.01477,0.03293,0.02664,0.04074,0.03778
0.1327,0.07324,0.07874,0.2458,0.1671,0.0984,-0.05075,-0.007233,0.05014,0.1109,0.1537,0.03708,0.1242,0.1392,0.0436,0.03473,0.0719,0.04163,0.02762,-0.03345,0.04636,0.0353,0.2798,0.01941,0.00922,0.02225,0.01804,0.03168,0.03293
0.10364,0.0626,-0.02112,0.2034,0.11304,-0.0003052,-0.1466,-0.1311,-0.006165,0.0677,0.1361,0.01239,0.1073,0.1139,0.03833,0.02524,0.05658,0.03714,0.0238,-0.1026,0.0405,0.02847,0.216,-0.002106,0.005432,0.01367,0.0112,0.02277,0.02744
0.0714,0.05594,-0.1032,0.1576,0.0511,-0.09106,-0.2366,-0.2432,-0.05856,0.01889,0.1234,-0.01431,0.09924,0.0896,0.0316,0.01373,0.0389,0.03186,0.0199,-0.1372,0.0372,0.02493,0.1506,-0.00769,0.002747,0.007507,0.006866,0.01572,0.02264
0.03665,0.05096,-0.1764,0.1112,-0.006805,-0.145,-0.2998,-0.3337,-0.0995,-0.03177,0.11487,-0.0406,0.0951,0.0792,0.02277,0.001556,0.0203,0.02777,0.01578,-0.1289,0.03558,0.02417,0.06396,0.001465,0.001373,0.002869,0.005096,0.010284,0.01926
0.005188,0.0485,-0.2203,0.0569,-0.05362,-0.1575,-0.3376,-0.3958,-0.1328,-0.0786,0.1107,-0.0646,0.10046,0.05893,0.01218,-0.01117,0.001343,0.02164,0.01132,-0.08765,0.03464,0.02515,-0.03394,0.01767,0.0007324,-0.0001831,0.005524,0.006897,0.01788
-0.01941,0.04538,-0.2413,0.005493,-0.067,-0.1497,-0.3472,-0.428,-0.146,-0.12256,0.10876,-0.08417,0.1051,0.04965,0.0003662,-0.0239,-0.0181,0.01227,0.006836,-0.02512,0.03198,0.02731,-0.1265,0.02884,-0.0002136,-0.003143,0.00702,0.00479,0.0177
-0.03568,0.0434,-0.2446,-0.03754,-0.05997,-0.1316,-0.3237,-0.425,-0.1471,-0.1514,0.1062,-0.09705,0.12,0.04095,-0.011566,-0.03543,-0.03723,0.0004272,0.002502,0.0292,0.0275,0.02866,-0.2024,0.02536,-0.002441,-0.008026,0.007294,0.002045,0.01822
-0.04285,0.04214,-0.2322,-0.0786,-0.0514,-0.1309,-0.2764,-0.3914,-0.137,-0.1621,0.1039,-0.1016,0.1255,0.02438,-0.02216,-0.0456,-0.05707,-0.01682,-0.001709,0.06223,0.02203,0.02814,-0.24,0.002716,-0.00528,-0.01352,0.005066,-0.001312,0.01913
