a3_x,b3_y,c3_z
0.1418,0.10535,0.0688
0.1381,0.10486,0.06726
0.13,0.1006,0.06384
0.1144,0.09204,0.0586
0.0899,0.08405,0.05243
0.07135,0.0758,0.04593
0.05447,0.0685,0.03775
0.04355,0.0619,0.02731
0.03656,0.05484,0.0137
0.02832,0.05035,-0.003052
0.0293,0.0454,-0.02115
0.02786,0.0406,-0.0386
0.02689,0.03687,-0.05316
0.02924,0.03168,-0.0636
0.02515,0.02695,-0.06903
0.02164,0.02277,-0.06934
0.01703,0.01898,-0.06604
0.01172,0.01694,-0.05994
0.01016,0.01474,-0.05252
0.00522,0.01318,-0.04492
0.001953,0.0123,-0.03793
0.0009155,0.01129,-0.03223
-0.0001526,0.010864,-0.0279
0.00177,0.009735,-0.02539
0.001556,0.00812,-0.02539
0.0004578,0.006256,-0.0278
-0.001495,0.003693,-0.03262
-0.00589,0.001648,-0.03943
-0.00879,-0.0002747,-0.04672
-0.01303,-0.0017395,-0.0535
-0.01608,-0.002228,-0.0587
-0.01733,-0.003021,-0.0616
-0.0195,-0.003326,-0.06186
-0.01913,-0.003662,-0.0591
-0.01855,-0.003937,-0.05334
-0.01688,-0.003876,-0.0448
-0.01395,-0.003937,-0.03397
-0.01288,-0.003693,-0.02197
-0.01141,-0.003723,-0.01022
-0.01169,-0.00403,0.0002747
-0.01352,-0.00409,0.00885
-0.01425,-0.004364,0.015045
-0.01578,-0.00476,0.01898
-0.01685,-0.00537,0.02081
-0.01788,-0.006256,0.02066
-0.01895,-0.007202,0.0184
-0.01883,-0.008484,0.01416
-0.01852,-0.00989,0.008026
-0.01678,-0.01111,0.0003052
-0.01413,-0.01233,-0.00891
-0.01163,-0.013245,-0.01868
-0.00876,-0.013824,-0.02829
-0.006653,-0.013794,-0.0372
-0.004547,-0.01312,-0.04474
-0.002625,-0.01187,-0.0507
-0.001343,-0.00995,-0.0551
9.155e-05,-0.00763,-0.0581
0.0007935,-0.005188,-0.0597
0.001129,-0.002655,-0.0599
0.001312,-0.0004272,-0.05862
0.000641,0.001373,-0.05557
-0.0003967,0.002472,-0.05054
-0.002045,0.0029,-0.0439
